text,label
 I'm backporting this to 3.4 and 3.3 branches. --Michi,neutral
+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The,neutral
Bug Flavio more? Seriously,negative
Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest,neutral
The patch no longer applies. Abmar,neutral
Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/),neutral
3.0.0 has been released,neutral
That is my understanding. Looking at the dtd,neutral
No reply,neutral
Updated in 1.2 branch. David,neutral
As Wing Yew said,neutral
See comments above,neutral
After re-compiling the applcation and re-deploying everything worked properly,positive
I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel,neutral
reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0,neutral
Venu committed your patch for Xerces 2.6.0. Please verify.,neutral
This bug is 3 years old. Anybody looking to fix it?,neutral
The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher,neutral
See bug 5694 for the DOMException problem.,neutral
Hi George,positive
I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!,positive
I tried using your testcase on Win95/IE4,neutral
checked in,neutral
Added 'onRowInserted' callback to TreeTable,neutral
This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).,neutral
closing this issue.,neutral
Xalan-Java appears to be operating correctly.,neutral
First I want to verify that Gretchen's fix >Additional Comments From Gretchen Chiaramonte 2003-09-22 20:04 ------- for this bug works for me as well using Xalan 2.6.0. Second,neutral
This bug has been fixed in Xalan Java 2.5.2. Please verify.,neutral
Original reporter is not available. This report has now 'timed out'.,neutral
*** This bug has been marked as a duplicate of 6155 ***,neutral
Still happens to me. Steps to duplicate: 1. Start IE5.5 on Win2k - open java console from the 'view' menu. 2. Download xalan-j_2_2_D11.tar.gz to server. 3. tar xzf xalan-j_2_2_D11.tar.gz (extract to location on a webserver - for me this was /home/httpd/html) 4. navigate to http://SERVER/xalan- j_2_2_D11/samples/AppletXMLtoHTML/appletXMLtoHTML.html,neutral
AFAIK,neutral
Unfortunatly,negative
Integrated in Struts2 #551 (See https://builds.apache.org/job/Struts2/551/) WW-3914 solves problem with returning always system implementation of FileManager (Revision 1405930) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactory.java /struts/struts2/trunk/xwork-core/src/test/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactoryTest.java,neutral
Already resolved with WW-3414,neutral
I am also having the same issue with a java.sql.Timestamp based attribute. The date I entered into the field was 'not a date'. Of course,neutral
> Would it have an impact to remove this 'name' attribute from the generated 'form' tag ? YES! If you need XHTML strict compliance,neutral
Assigning this to future until the dependent XWork enhancement is made.,neutral
Integrated in Struts2-JDK6 #573 (See https://builds.apache.org/job/Struts2-JDK6/573/) WW-3928 Rollbacks changes introduced with WW-2749 to allow work with mod_jk and so on (Revision 1415770) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java,neutral
Ported the solution of WW-2551 to the Struts 2.0 branch.,neutral
Resolving this issue as the original problem has been fixed. Please open a new ticket if you feel session invalidation should also be addressed.,neutral
This is by design,neutral
we're moving away from dojo integration in struts2,neutral
yay! it should be really really easy (not including the test,positive
This has been committed in XWork and will be part of the XWork 2.1 release. See: http://jira.opensymphony.com/browse/XW-541,neutral
Reporter asked for this to be closed.,neutral
Makes sense to me.,neutral
duplicate of WW-1598,neutral
Hellow,neutral
As of r438174 ,neutral
I believe this is an issue. I have an action saveAction which I want to chain to editAction whenever there is a validation error. This is often necessary because a JSP will be displayed which has dynamic content such as a selectable list of items. However,neutral
This has been fixed in CVS. You can get the latest xwork.jar (which fixes the problem) from http://ivyrep.opensymphony.com,neutral
Given the dependencies,negative
