text,label
is the newest iTunes compatible with Windows Ive tried everything ,"negative,questioning"
@BillGates why cant you let me delete PDFs with preview panel on ? #theimmovableobject ,"negative,questioning"
Windows are very good but the apps is not like android ,"positive,negative"
has managed to drastically improve and fuck up my laptop simultaneously ,"positive,negative,energetic"
Hi so perhaps you can help How do I stop Win apps from hijacking my music video etc files ?,"negative,questioning"
postponed my update and then in minutes it happened anyways So now I really hate you ,"negative,energetic"
Who do you think you are ? Apple ?,questioning
SPONSOR US ,energetic
@Microsoft right click keeps #breaking on task bar REALLY #frustrating Only way around is to restart windows explorer in task man ,"negative,energetic"
STOP forcing on me Tried to upgrade w a multitude of issues Tried to fix issues no solutions worked or were available ,"negative,energetic"
how would you describe this cat ? ,questioning
FUCK YOU WINDOWS FOR FUCKING UP MY TWO YEAR OLD PROJECT YOU ABSOLUTE USELESS BUNCH OF CUNTS FUCKING FORCE UPGRADED MY PC CUNTS ,"negative,energetic"
battery charging is slow n drains fast in win after win upgrde ,negative
Really need to add option to disable auto play graphics in the Windows Twitter app ,energetic
windows again and it tries every time to install windows and when I try to stop it It already starts to update again ,"negative,energetic"
What are the minimum system requirements for Windows ,questioning
WTF DID I GET WINDOWS WITHOUT MY PERMISSION ,"negative,questioning"
Dear Microsoft ! Please hire someone who is professional on font design the OS X even Ubuntu Linux is much better on font display ,"negative,energetic"
upgrade free for the first year Ends Get ur upgrade ! Ur suprt ended @Microsoft ,energetic
getting up to get chips is not agreeing to have windows installed Check urself u wreck urself ,"negative,energetic"
@GabeAul The current fast ring update makes a real go for the usage Lots of features added Awesome !! ,"positive,energetic"
@msdev you forgot Windows Mobile at @Daniel_Rubino @GabeAul What exactly it will bring with Anniversary update ?,"negative,questioning"
my taskbar does not work when i click windows button volumn vearch and so on ,negative
I updated Windows last night and now everything is dichlorvos and I cant play games on my pc help ?!?!?,negative
thanks for the forced update to windows It really made studying for the Bar exam much easier when my laptop was useless ,"negative,energetic"
is so bloated the feedback form ended up crashing Stop pushing this OS please !,"negative,energetic"
what kind of upgrade causes audio problems with your computer ?!?!? Absolutely outrageous think I ll be swapping to @AppleSupport ,"negative,energetic,questioning"
not fair I had this huge document on my comp and it updated And now I cant find it anywhere ! Seriously FUCK YOU WINDOWS ??,"negative,energetic"
I love windows DVD maker !,"positive,energetic"
mail app never works anymore in windows Just get error everytime on all my accounts ,"negative,energetic"
