text,label
Windows are very good but the apps is not like android ,satisfied
has managed to drastically improve and fuck up my laptop simultaneously ,none
@GabeAul The current fast ring update makes a real go for the usage Lots of features added Awesome !! ,"excited,satisfied"
I love windows DVD maker !,"excited,satisfied"
After using couple of minutes it seems to me the best @Windows phone ever ,satisfied
after upgrade to Windows my PC feel fast and absolutely beautiful Thank you Microsoft Windows,satisfied
im loving windows on my laptop but I own a BLU win HD LTE when will windows mobile be available to me Canada thanks ,"anticipating,satisfied"
My Nextbook has a problem snap assist doesnt work in tablet mode well it used too shame that feature was amazing ,none
Insider build has the clock on secondary taskbars   doesntfix all the other annoyances but its still a nice addition ,none
Our latest update works awesome on Lumia also #indiedev working on more !!,"excited,satisfied"
Windows is the greatest OS of this generation ! I love it !,"excited,satisfied"
hi I seem to like windows but why change the google page set up esp for the fav pages I have had to download another explorer ,satisfied
gt @apple The surface is smaller but yet more powerful ! #WindowsVsApple @surface ,"excited,satisfied"
Do you wanna go to prom with me ? We could take selfies with my high quality front facing camera ,satisfied
Oh yeah I need to tweet yall back Windows is running smoothly and great Thats my feedback !,"excited,satisfied"
Hey Windows keep showing me nice photos without telling me where its from Wheres this place ?? ,satisfied
@Microsoft today spotlight great ! ,"excited,satisfied"
  wallpaper ! its Newgrenge in Ireland ! ,excited
@windowsdev @WindowsSupport really sad that windows is nt coming to my @Lumia This was the flagship killer mobile nd no ,none
build is probably the best Windows build ever for gaming the by the way I wont recommend it ,satisfied
@ubuntu ubuntu in windows cool stuff !! ,"excited,satisfied"
It would be cool if an estimate downtime is presented before a restart on an update is clicked on ,none
has Been speeding up my Processes a lot more recently Like my Render time has been cut in half I really Enjoy Windows ,satisfied
@windowsdev Im enjoying windows on my lumia   hope youll give us update for our facebook ang facebook messenger ? Make it fast ?,satisfied
A beautiful poem on a beautiful dream ,satisfied
Bash really coming to Windows ,anticipating
Hello would be great if it worked,none
Thanks for the upgrade ! Its a wonderful world of Windows ,"excited,satisfied"
#computer This way helps to cool your CPU sink ,none
@Lumia @LumiaIndia Guys charge your devices Me Excited Going to charge my device too   ,"excited,satisfied"
the is very exciting for a developer and even non developer ,excited
has a lot of cool apps !! ,"excited,satisfied"
@maryjofoley I love Windows ,satisfied
roars back in strongest growth in two years as #iOS shrinks ,none
what would the world be with out you Love you man ,satisfied
is going to have more emojis than Apple ! I knew this day would come !,"excited,anticipating,satisfied"
Sharing smile amp have fun Yoga Cup Challenge Vida Loca Style Thanks ! Have a great day !!,"excited,satisfied"
thank you making All Star Wars to #Chromecast seamless marathon anytime I want This is the #Droid I m looking for ,"excited,satisfied"
@TheIoT #Android and #IoT are match made in heaven ! ,"excited,satisfied"
the software update is amazing why are all the icons so small though ?,satisfied
this new update is very pleasing Thanks guys ,satisfied
top features were looking forward to via @CNET #AndroidN,anticipating
you are the platform of choice for many LGBT Join the other sponsors Stop adv with @thecw #endqueerbaiting ,none
N Beta is running so smoove Also #goraptorsgo,satisfied
Pay UK ! Finally ! Only wanted this for maybe the last years ,"excited,anticipating"
thank you for putting the middle finger emoji on the marshmallow update ?,satisfied
Dude So many new emojis But yet no shark emoji,"anticipating,satisfied"
Thanks for the upgrade downloaded last night Loving it as much as I love tacos ! ,"excited,satisfied"
Phone Finder helps people with absolutely no idea of technical functionalities to pick the best #smartphone # sURLe ,satisfied
@google #NameAndroidN Android Nice with new nice and sweet features ,satisfied
Ive just enrolled in the Android N programm I love what you guys have done with the clock on the status ,satisfied
@Android Love AndroidOS but #frustrated w Marshmallow _NUM_ update on my _NUM_ Want to have options to set default app or not . Why the change,none
@Android you know what ? This update for marshmellow is fucking awesome and made me fall in love with my _NUM_ edge again . Dont even need a _NUM_,"excited,satisfied"
@google thanks for the update ,satisfied
@Android damn it im team iPhone all the way but I cant deny this shit was too cute lol,"excited,satisfied"
@Android my #Apple #iphone was #hacked . and do you believe that @AppleSupport hung up on me _NUM_ maybe ill get that new _NUM_,none
@Android You guys are awesome ! Thank you for listening and addressing my concerns ! So far this update is awesome and you guys nailed it !,"excited,satisfied"
No doubt indic keyboard is awesome but if you can migrate all my word predictions from google K K to indic K K thatd ,"anticipating,satisfied"
@Android aww this makes my heart smile spreading love and kindness like wildfire,"excited,satisfied"
Hey Android is the system being updated soon ? If so what cool features are there going to be ?,anticipating
@googlenexus Im amazed at how easy it was too get #AndroidN on my Nexus ! No flashing just an OTA ! By the way its incredible !,"excited,satisfied"
updated to #Marshmallow today Seems cool so far but @VerizonSupport used it as an opportunity to pack on more #bloatware ,none
Share Reaches Its Highest in ,none
any idea when TSB will support pay ? Im desperate to use it #fingerscrossed #AndroidPay,anticipating
@google the #new #android keyboard update today is simply superb ! Thank you #marshmallow #goodjob ,satisfied
cheeky sods couldnt have told us that we only had to wait a day for Android pay UK !? Lol never been more excited about an app ! ,none
hi Im nur ffs I like the rolling eyes emoji Bring it to android ,none
emojis are better than iOS emojis ,none
@google thanks for the update ,satisfied
Hi Any chance you can share what application do you use to create the short videos ? Thank you very much !,none
Best customer service EVER !! Worldwide Love the Australia and New Zealand support team Well done to you all ,"excited,satisfied"
has a great support team made our day Bless them ,satisfied
Thx Apple Chadstone iPad stopped working amp month out of warranty Outcome replaced with a new one ! #customerexperience ,"excited,satisfied"
THANK YOU ! My links work again Great work team ??,"excited,satisfied"
your German phone support is just rad #Thanksbrah,"excited,satisfied"
Brilliant ! About as much use as a chocolate teapot ,"excited,satisfied"
your #geniusbar support is exceptional Friendly educated speedy Thanks for the help !,"excited,satisfied"
I see you with the Genius Bar and then the Genius Playlist v patient branding respect,satisfied
Hello Friends could a Venezuelan get a job in this fabulous company Greetings ,none
